,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
2741,ATI Radeon X1600 XT,GPU,10/1/2007,90,42,150,157,590,TSMC,ATI,,,
2742,NVIDIA ION HX,GPU,6/3/2008,65,20,162,282,450,Unknown,NVIDIA,,35.2,
2743,AMD Radeon RX 6600 XT,GPU,NaT,7,180,236,,1489,TSMC,AMD,20480,10240,640
2744,NVIDIA GeForce 7500 LE,GPU,3/22/2006,90,,81,112,475,TSMC,NVIDIA,,,
2745,ATI Mobility Radeon 9550,GPU,6/1/2004,130,,92,76,250,TSMC,ATI,,,
2746,ATI Radeon HD 3300 IGP,GPU,8/6/2008,65,,85,180,500,Unknown,ATI,,40,
2747,AMD Radeon HD 8730M,GPU,4/1/2013,28,,77,950,650,TSMC,AMD,,537.6,33.6
2748,NVIDIA GeForce GTX 670MX,GPU,10/1/2012,28,75,294,3540,601,TSMC,NVIDIA,,1154,48.08
2749,AMD Radeon E8950,GPU,9/29/2015,28,95,366,5000,735,TSMC,AMD,4096,4096,256
2750,AMD Radeon R4 Mobile Graphics,GPU,9/17/2014,28,17,245,2410,533,GF,AMD,,204.7,12.79
2751,NVIDIA GeForce GTX 1070 Ti,GPU,11/2/2017,16,180,314,7200,1607,TSMC,NVIDIA,127.9,8186,255.8
2752,NVIDIA GeForce 6200 LE,GPU,4/4/2005,110,,110,75,350,TSMC,NVIDIA,,,
2753,NVIDIA NVS 810,GPU,11/4/2015,28,68,148,1870,902,TSMC,NVIDIA,,1058,33.06
2754,AMD Radeon Pro 555X,GPU,7/16/2018,14,75,123,3000,907,GF,AMD,1393,1393,87.07
2755,NVIDIA Quadro P5200 Max-Q,GPU,2/21/2018,16,100,314,7200,1316,TSMC,NVIDIA,125.5,8033,251
2756,NVIDIA GeForce RTX 3050 Mobile,GPU,1/1/2021,8,,,,1237,Samsung,NVIDIA,6144,6144,96
2757,AMD Radeon R9 370X,GPU,8/27/2015,28,180,212,2800,980,TSMC,AMD,,2637,164.8
2758,AMD Radeon Vega 3 Mobile,GPU,1/6/2019,14,15,210,4940,300,GF,AMD,768.8,384.4,24.02
2759,AMD Radeon R7 M265DX,GPU,1/7/2014,28,,56,690,780,TSMC,AMD,,547.2,34.2
2760,NVIDIA Quadro FX Go700,GPU,6/25/2003,130,,121,80,295,TSMC,NVIDIA,,,
2761,AMD Radeon HD 7950M,GPU,4/24/2012,28,75,212,2800,700,TSMC,AMD,,1792,
2762,ATI Mobility Radeon HD 5750,GPU,1/7/2010,40,25,104,627,550,TSMC,ATI,,440,
2763,AMD Radeon Vega 8,GPU,2/12/2018,14,65,210,4940,300,GF,AMD,2253,1126,70.4
2764,NVIDIA GRID K1,GPU,3/18/2013,28,130,118,1270,850,TSMC,NVIDIA,,326.4,13.6
2765,NVIDIA GeForce RTX 3050 Max-Q,GPU,1/1/2021,8,,,,712,Samsung,NVIDIA,4329,4329,67.65
2766,NVIDIA GeForce G100 OEM,GPU,3/10/2009,65,35,86,210,540,TSMC,NVIDIA,,20.8,
2767,AMD Radeon R7 360,GPU,6/18/2015,28,100,160,2080,1000,TSMC,AMD,,1613,100.8
2768,AMD Radeon R7 M260DX,GPU,10/12/2014,28,,125,1550,925,TSMC,AMD,721.9,721.9,45.12
2769,Intel HD Graphics 4200,GPU,9/2/2013,22,4,,,200,Intel,Intel,,272,68
2770,NVIDIA GeForce 6200 PCI,GPU,1/16/2008,110,,110,75,280,TSMC,NVIDIA,,,
2771,NVIDIA GeForce MX250,GPU,2/21/2019,14,25,74,1800,1519,Samsung,NVIDIA,18.98,1215,37.97
2772,NVIDIA GeForce4 MX 4000 Rev. 2,GPU,12/14/2003,150,,65,29,250,TSMC,NVIDIA,,,
2773,NVIDIA GeForce Go 6400,GPU,2/1/2006,110,,110,75,400,TSMC,NVIDIA,,,
2774,NVIDIA Quadro K2100M,GPU,7/23/2013,28,55,221,2540,667,TSMC,NVIDIA,,768.4,32.02
2775,NVIDIA GeForce 945M,GPU,4/8/2016,28,23,,,1006,TSMC,NVIDIA,,913.2,28.54
2776,NVIDIA GeForce 6800,GPU,11/8/2004,130,,225,222,325,TSMC,NVIDIA,,,
2777,NVIDIA Quadro FX 1800M,GPU,6/15/2009,40,45,144,727,561,TSMC,NVIDIA,,162,
2778,NVIDIA Tesla K40st,GPU,11/22/2013,28,245,561,7080,575,TSMC,NVIDIA,,3312,1104
2779,XGI Volari V5 Ultra,GPU,9/15/2003,130,,,90,350,UMC,Other,,,
2780,NVIDIA RTX A4000,GPU,4/12/2021,8,140,392,17400,735,Samsung,NVIDIA,19170,19170,599
2781,NVIDIA GeForce GT 130M,GPU,1/8/2009,55,23,121,314,600,TSMC,NVIDIA,,96,
2782,AMD Radeon Vega 11 Embedded,GPU,2/13/2018,14,35,210,4940,300,GF,AMD,3664,1832,114.5
2783,NVIDIA GeForce FX 5900 ZT,GPU,5/12/2003,130,,207,135,325,TSMC,NVIDIA,,,
2784,NVIDIA GeForce RTX 3070 Ti,GPU,1/1/2021,8,200,392,17400,1575,Samsung,NVIDIA,21750,21750,339.8
2785,Intel GMA 3100,GPU,5/9/2007,90,13,,,400,Intel,Intel,,,
2786,NVIDIA GeForce 8600 GT,GPU,4/17/2007,80,47,169,289,540,TSMC,NVIDIA,,76.16,
2787,Intel Iris Pro Graphics P580,GPU,9/1/2015,14,15,,,350,Intel,Intel,2304,1152,288
2788,ATI FireGL 9800 X2-256T,GPU,10/1/2003,150,,218,117,412,TSMC,ATI,,,
2789,NVIDIA GeForce 945A,GPU,3/13/2015,28,33,,,1006,TSMC,NVIDIA,,913.2,28.54
2790,NVIDIA Quadro Plex 2200 S4,GPU,7/25/2008,55,600,470,1400,648,TSMC,NVIDIA,,622.1,77.76
2791,ATI Mobility Radeon X2300,GPU,3/1/2007,80,,100,107,479,UMC,ATI,,,
2792,NVIDIA GeForce RTX 2080 Max-Q,GPU,1/29/2019,12,90,545,13600,735,TSMC,NVIDIA,12890,6447,201.5
2793,AMD Radeon HD 7670 OEM,GPU,1/5/2012,40,66,118,716,800,TSMC,AMD,,768,
2794,Matrox Millennium G550 PCIe,GPU,11/26/2001,180,,,10,125,UMC,Other,,,
2795,AMD Radeon Pro 5700 XT,GPU,8/4/2020,7,130,251,10300,1243,TSMC,AMD,15350,7675,479.7
2796,NVIDIA GeForce 7300 LE,GPU,3/22/2006,90,,81,112,450,TSMC,NVIDIA,,,
2797,ATI FirePro V9800,GPU,9/9/2010,40,250,334,2154,850,TSMC,ATI,,2720,544
2798,AMD Radeon R5 435 OEM,GPU,6/30/2016,28,50,56,690,1030,TSMC,AMD,,659.2,41.2
2799,NVIDIA Quadro RTX 4000,GPU,11/13/2018,12,160,545,13600,1005,TSMC,NVIDIA,14240,7119,222.5
2800,NVIDIA GeForce 7950 GT AGP,GPU,4/2/2007,90,65,196,278,500,TSMC,NVIDIA,,,
2801,Intel Iris Plus Graphics 640,GPU,1/3/2017,14,15,,,300,Intel,Intel,1690,844.8,211.2
2802,ATI Radeon X800 XT,GPU,12/1/2004,130,54,289,160,500,TSMC,ATI,,,
2803,AMD Radeon HD 6350,GPU,2/7/2011,40,19,59,292,650,TSMC,AMD,,104,
2804,AMD Radeon HD 6870,GPU,10/21/2010,40,151,255,1700,900,TSMC,AMD,,2016,
2805,Intel UHD Graphics 600,GPU,12/11/2017,14,5,,,200,Intel,Intel,249.6,124.8,31.2
2806,ATI Radeon X1700 FSC,GPU,11/5/2007,80,44,131,330,587,TSMC,ATI,,,
2807,NVIDIA GeForce 615,GPU,5/15/2012,40,49,116,585,660,TSMC,NVIDIA,,126.7,10.56
2808,NVIDIA Switch GPU 16nm,GPU,8/16/2019,16,15,100,2000,384,TSMC,NVIDIA,786.4,393.2,12.29
2809,ATI FireGL V3100,GPU,9/1/2004,110,,74,107,391,TSMC,ATI,,,
2810,AMD Radeon R9 M270X,GPU,2/5/2015,28,,160,2080,900,TSMC,AMD,,1536,96
2811,ATI Radeon X550 XTX,GPU,1/24/2007,110,,156,120,400,TSMC,ATI,,,
2812,AMD Radeon RX 560 896SP,GPU,7/4/2017,14,45,123,3000,1090,GF,AMD,2106,2106,131.6
2813,AMD Radeon HD 8350G IGP,GPU,3/12/2013,32,35,246,1303,514,TSMC,AMD,,184.3,
2814,ATI Radeon X300 LE,GPU,9/1/2004,110,,74,107,325,TSMC,ATI,,,
2815,AMD Radeon HD 8990 OEM,GPU,4/24/2013,28,375,365,4313,950,TSMC,AMD,,4096,1024
2816,NVIDIA GeForce GTX 560 Ti X2,GPU,1/25/2011,40,170,332,1950,850,TSMC,NVIDIA,,1306,108.8
2817,NVIDIA GeForce FX Go5200,GPU,3/1/2003,150,,91,45,200,TSMC,NVIDIA,,,
2818,AMD Radeon Pro 5700,GPU,8/4/2020,7,130,251,10300,1243,TSMC,AMD,12440,6221,388.8
2819,AMD Radeon HD 8550G IGP,GPU,5/23/2013,32,35,246,1303,515,TSMC,AMD,,337.9,
2820,NVIDIA GeForce 810M,GPU,3/21/2015,28,45,118,1270,835,TSMC,NVIDIA,,729.6,30.4
2821,AMD Radeon HD 6550A,GPU,2/7/2011,40,35,104,627,550,TSMC,AMD,,528,
2822,AMD Radeon HD 6530,GPU,5/14/2011,40,39,104,627,650,TSMC,AMD,,520,
2823,ATI Radeon 9800 PRO,GPU,10/1/2003,150,47,218,117,380,TSMC,ATI,,,
2824,AMD FirePro W4100,GPU,8/13/2014,28,50,123,1500,630,TSMC,AMD,,645.1,40.32
2825,ATI Radeon X550 HyperMemory,GPU,7/1/2005,110,,74,107,400,TSMC,ATI,,,
2826,AMD Radeon RX Vega 11,GPU,2/12/2018,14,65,210,4940,300,GF,AMD,3492,1746,109.1
2827,AMD Radeon RX 550 512SP,GPU,10/13/2017,14,50,123,3000,1019,GF,AMD,1097,1097,68.54
2828,NVIDIA GeForce GTX 1080,GPU,5/27/2016,16,180,314,7200,1607,TSMC,NVIDIA,138.6,8873,277.3
2829,AMD Radeon R9 M380,GPU,5/5/2015,28,,160,2080,900,TSMC,AMD,,1536,96
2830,ATI Mobility Radeon HD 2400 XT Mac Edition,GPU,6/28/2007,65,,82,180,650,TSMC,ATI,,52,
2831,AMD Radeon Pro WX 7100,GPU,11/10/2016,14,130,232,5700,1188,GF,AMD,5728,5728,358
2832,NVIDIA GeForce GTX 760,GPU,6/25/2013,28,170,294,3540,980,TSMC,NVIDIA,,2378,99.07
2833,NVIDIA GRID K160Q,GPU,6/28/2013,28,130,118,1270,850,TSMC,NVIDIA,,326.4,13.6
2834,NVIDIA Tesla M2070,GPU,7/25/2011,40,225,529,3100,574,TSMC,NVIDIA,,1030,515.2
2835,ATI Radeon E4690 PCIe,GPU,6/1/2009,55,30,146,514,600,TSMC,ATI,,384,
2836,ATI Mobility Radeon HD 2400 XT,GPU,5/14/2007,65,,82,180,600,TSMC,ATI,,48,
2837,NVIDIA GeForce GTX TITAN BLACK,GPU,2/18/2014,28,250,561,7080,889,TSMC,NVIDIA,,5645,1882
2838,ATI Radeon X1950 XT AGP,GPU,10/17/2006,90,96,352,384,625,TSMC,ATI,,,
2839,AMD Radeon HD 7400G IGP,GPU,10/2/2012,32,17,246,1303,327,TSMC,AMD,,162.8,
2840,NVIDIA Quadro P5000,GPU,10/1/2016,16,180,314,7200,1607,TSMC,NVIDIA,138.6,8873,277.3
2841,NVIDIA GeForce GT 740 OEM,GPU,4/14/2015,28,65,221,2540,1050,TSMC,NVIDIA,,806.4,33.6
2842,ATI Radeon X600,GPU,9/1/2004,110,36,74,107,400,TSMC,ATI,,,
2843,AMD Radeon Pro W5300M,GPU,11/13/2019,7,85,158,6400,1000,TSMC,AMD,6400,3200,200
2844,ATI Radeon X800 PRO,GPU,5/1/2004,130,48,289,160,475,TSMC,ATI,,,
2845,Intel Xeon Phi 3120A,GPU,11/12/2012,22,300,350,5000,1100,Intel,Intel,,501.6,
2846,AMD Radeon HD 7560D IGP,GPU,10/2/2012,32,65,246,1303,760,TSMC,AMD,,389.1,
2847,NVIDIA GeForce 9400M G,GPU,10/15/2008,65,12,144,314,450,Unknown,NVIDIA,,35.2,
2848,ATI Radeon 9500,GPU,3/1/2003,150,12,215,110,275,TSMC,ATI,,,
2849,ATI Radeon Xpress 1200 Mobile IGP,GPU,2/28/2007,90,,73,120,500,Unknown,ATI,,,
2850,AMD Radeon R9 M265X,GPU,3/21/2014,28,,123,1500,575,TSMC,AMD,,800,50
2851,NVIDIA GeForce GTS 450 Rev. 3,GPU,7/11/2012,40,106,238,1170,783,TSMC,NVIDIA,,451,37.58
2852,NVIDIA Quadro FX 4000,GPU,4/1/2004,130,142,287,222,375,TSMC,NVIDIA,,,
2853,AMD Radeon R7 360 896SP,GPU,6/18/2015,28,85,160,2080,1100,TSMC,AMD,,1971,123.2
2854,NVIDIA GeForce 8800 Ultra,GPU,5/2/2007,90,171,484,681,612,TSMC,NVIDIA,,387.1,
2855,Matrox M9125 PCIe x16,GPU,NaT,90,,,,250,UMC,Other,,,
2856,AMD Radeon HD 7690M XT Rebrand,GPU,1/4/2012,40,25,104,716,725,TSMC,AMD,,696,
2857,NVIDIA GeForce 8800 GTX,GPU,11/8/2006,90,155,484,681,576,TSMC,NVIDIA,,345.6,
2858,NVIDIA GeForce 6800 GT DDL,GPU,4/14/2004,130,80,287,222,350,TSMC,NVIDIA,,,
2859,ATI Radeon 9000 PRO Mac Edition,GPU,3/14/2004,150,28,97,36,275,TSMC,ATI,,,
2860,Intel Iris Pro Graphics 580,GPU,9/1/2015,14,15,,,350,Intel,Intel,2189,1094,273.6
2861,AMD Radeon Pro WX 4150 Mobile,GPU,3/1/2017,14,50,123,3000,1002,GF,AMD,1887,1887,117.9
2862,AMD Radeon VII,GPU,2/7/2019,7,295,331,13230,1400,TSMC,AMD,26880,13440,3360
2863,NVIDIA Quadro K1200,GPU,1/28/2015,28,45,148,1870,1058,TSMC,NVIDIA,,1151,35.97
2864,AMD Radeon Pro V7350X2,GPU,NaT,14,200,232,5700,1188,GF,AMD,,5728,358
2865,AMD Radeon R5 A335,GPU,10/21/2015,28,,56,690,1070,TSMC,AMD,,684.8,
2866,NVIDIA GeForce2 Go 200,GPU,2/6/2001,180,2,64,20,143,TSMC,NVIDIA,,,
2867,Intel Xeon Phi 5120D,GPU,6/17/2013,22,245,350,5000,1053,Intel,Intel,,505.4,
2868,ATI Mobility Radeon HD 4870 X2,GPU,1/9/2009,55,,256,956,550,TSMC,ATI,,880,176
2869,XGI Volari V5 Ultra,GPU,9/15/2003,130,,,90,350,UMC,Other,,,
2870,NVIDIA GeForce 7050 SE + nForce 630a,GPU,2/1/2006,90,,81,112,425,Unknown,NVIDIA,,,
2871,NVIDIA GeForce GT 740,GPU,5/29/2014,28,64,118,1270,993,TSMC,NVIDIA,,762.6,31.78
2872,NVIDIA Quadro K5000,GPU,8/17/2012,28,122,294,3540,706,TSMC,NVIDIA,,2169,90.37
2873,NVIDIA GeForce MX150,GPU,5/17/2017,14,10,74,1800,937,Samsung,NVIDIA,12.46,797.2,24.91
2874,NVIDIA GeForce 9200M,GPU,10/15/2008,65,12,144,314,450,Unknown,NVIDIA,,38.4,
2875,ATI Mobility Radeon X1900,GPU,1/11/2007,80,,230,384,400,TSMC,ATI,,,
2876,AMD Radeon R7 360E,GPU,12/30/2015,28,75,160,2080,1050,TSMC,AMD,,1613,100.8
2877,NVIDIA GeForce 6800 LE,GPU,1/16/2005,130,,225,222,325,TSMC,NVIDIA,,,
2878,AMD Radeon HD 6750,GPU,1/21/2011,40,86,166,1040,700,TSMC,AMD,,1008,
2879,AMD Radeon R5 430 OEM,GPU,6/30/2016,28,50,77,950,730,TSMC,AMD,,599,37.44
2880,AMD Radeon R9 260 OEM,GPU,12/21/2013,28,85,160,2080,1100,TSMC,AMD,,1971,123.2
2881,NVIDIA GeForce 930M,GPU,3/13/2015,28,33,,,928,TSMC,NVIDIA,,722.7,22.58
2882,NVIDIA GeForce FX 5600 XT,GPU,3/17/2003,130,,121,80,235,TSMC,NVIDIA,,,
2883,AMD Radeon Graphics 512SP,GPU,3/7/2020,7,15,156,9800,400,TSMC,AMD,3584,1792,112
2884,NVIDIA Quadro K5100M,GPU,7/23/2013,28,100,294,3540,771,TSMC,NVIDIA,,2369,98.69
2885,ATI Mobility Radeon X300 IGP,GPU,1/1/2005,110,,74,107,300,Unknown,ATI,,,
2886,AMD Radeon Pro 580,GPU,6/5/2017,14,185,232,5700,1100,GF,AMD,5530,5530,345.6
2887,NVIDIA GeForce 310 OEM,GPU,11/27/2009,40,31,57,260,589,TSMC,NVIDIA,,44.86,
2888,NVIDIA GeForce 940MX,GPU,6/28/2016,28,23,148,1870,795,TSMC,NVIDIA,,881.7,27.55
2889,NVIDIA RTX A6000,GPU,10/5/2020,8,300,628,28300,1455,Samsung,NVIDIA,40000,40000,1250
2890,Intel Iris Plus Graphics G4,GPU,5/29/2019,10,15,,,300,Intel,Intel,1613,806.4,201.6
2891,ATI Mobility Radeon X2300 HD,GPU,3/1/2007,80,,100,107,479,TSMC,ATI,,,
2892,NVIDIA GeForce 8600 GTS Mac Edition,GPU,9/21/2007,80,75,169,289,675,TSMC,NVIDIA,,92.8,
2893,NVIDIA GeForce 9500M G,GPU,6/3/2008,65,20,144,314,500,UMC,NVIDIA,,40,
2894,ATI Radeon X800 SE,GPU,10/4/2004,130,,289,160,425,TSMC,ATI,,,
2895,AMD FirePro M4100,GPU,10/16/2013,28,,77,950,670,TSMC,AMD,,514.6,32.16
2896,AMD Radeon HD 7610M,GPU,1/7/2012,40,20,104,716,450,TSMC,AMD,,360,
2897,NVIDIA GeForce Go 7400,GPU,2/1/2006,90,,81,112,450,TSMC,NVIDIA,,,
2898,ATI Mobility Radeon X1600,GPU,2/1/2006,90,,150,157,450,TSMC,ATI,,,
2899,ATI FirePro V8750,GPU,7/28/2008,55,151,256,956,750,TSMC,ATI,,1200,240
2900,NVIDIA Tesla C2050,GPU,7/25/2011,40,238,529,3100,574,TSMC,NVIDIA,,1028,513.9
2901,AMD Radeon HD 7350 OEM PCI,GPU,1/5/2012,40,19,59,292,650,TSMC,AMD,,104,
2902,AMD Radeon RX 470 Mobile,GPU,8/4/2016,14,85,232,5700,926,GF,AMD,4399,4399,274.9
2903,AMD Radeon HD 6770 Green Edition,GPU,4/19/2013,40,86,166,1040,700,TSMC,AMD,,1008,
2904,NVIDIA Quadro P620 Mobile,GPU,2/1/2018,14,40,132,3300,1177,Samsung,NVIDIA,23.09,1478,46.18
2905,NVIDIA GeForce 8800 GTS 512,GPU,12/11/2007,65,135,324,754,650,TSMC,NVIDIA,,416,
2906,AMD Radeon HD 8510G IGP,GPU,5/23/2013,32,35,246,1303,554,TSMC,AMD,,425.5,
2907,NVIDIA Quadro M3000M,GPU,8/18/2015,28,75,398,5200,1050,TSMC,NVIDIA,,2150,67.2
2908,NVIDIA Tesla S1075,GPU,6/1/2008,55,800,470,1400,610,TSMC,NVIDIA,,622.1,77.76
2909,NVIDIA GeForce FX Go5200 NPB 32M,GPU,3/1/2003,150,,91,45,200,TSMC,NVIDIA,,,
2910,NVIDIA Quadro K5200,GPU,7/22/2014,28,150,561,7080,667,TSMC,NVIDIA,,3553,1184
2911,NVIDIA GeForce 710A,GPU,3/21/2015,28,45,118,1270,810,TSMC,NVIDIA,,622.1,25.92
2912,AMD Radeon E9260 PCIe,GPU,9/27/2016,14,80,123,3000,1090,GF,AMD,2150,2150,134.4
2913,NVIDIA GeForce 8300,GPU,4/17/2007,80,40,127,210,500,Unknown,NVIDIA,,48,
2914,ATI Radeon X1650 XT,GPU,10/30/2006,80,55,230,330,525,TSMC,ATI,,,
2915,NVIDIA GeForce 6600 AGP,GPU,8/12/2004,110,,154,146,300,TSMC,NVIDIA,,,
2916,NVIDIA GeForce 710A,GPU,3/17/2014,28,15,87,1020,719,TSMC,NVIDIA,,276.1,11.5
2917,ATI Mobility Radeon X600,GPU,6/1/2004,130,,92,75,400,TSMC,ATI,,,
2918,Intel UHD Graphics,GPU,8/21/2019,14,15,,,300,Intel,Intel,768,384,96
2919,NVIDIA Quadro FX 5600 Mac Edition,GPU,3/5/2007,90,171,484,681,600,TSMC,NVIDIA,,368.6,
2920,ATI Radeon X1050 AGP,GPU,11/25/2007,130,24,76,60,250,TSMC,ATI,,,
2921,AMD FireStream 9170,GPU,11/8/2007,55,105,192,666,800,TSMC,AMD,,512,102.4
2922,NVIDIA GeForce GTX 960 OEM,GPU,11/26/2015,28,,228,2940,1176,TSMC,NVIDIA,,2460,76.86
2923,ATI Radeon HD 2600 XT X2,GPU,7/26/2007,65,,153,390,800,TSMC,ATI,,192,
2924,NVIDIA GRID RTX T10-8,GPU,NaT,12,260,754,18600,1065,TSMC,NVIDIA,25710,12860,401.8
2925,NVIDIA GeForce GTX 1050 Mobile,GPU,1/3/2017,14,75,132,3300,1354,Samsung,NVIDIA,29.86,1911,59.72
2926,NVIDIA GeForce RTX 3080 Max-Q,GPU,1/12/2021,8,80,392,17400,780,Samsung,NVIDIA,15300,15300,239
2927,NVIDIA GeForce GTX 1650 Max-Q,GPU,4/15/2020,12,50,200,4700,930,TSMC,NVIDIA,4608,2304,72
2928,Intel HD Graphics 3000,GPU,2/1/2011,32,,149,624,350,Intel,Intel,,192,
2929,ATI Mobility Radeon HD 2400,GPU,5/14/2007,65,,85,180,450,TSMC,ATI,,36,
2930,NVIDIA GeForce GT 525M,GPU,1/5/2011,40,23,116,585,600,TSMC,NVIDIA,,230.4,19.2
2931,Sony Playstation 2 GPU 90nm,GPU,5/26/2005,90,45,86,54,147,Sony,Other,,,
2932,AMD Radeon HD 7660D IGP,GPU,10/2/2012,32,100,246,1303,760,TSMC,AMD,,583.7,
2933,NVIDIA GeForce GT 610 PCI,GPU,4/2/2012,40,29,79,292,810,TSMC,NVIDIA,,155.5,12.96
2934,ATI Radeon HD 3850 AGP,GPU,1/3/2008,55,75,192,666,668,TSMC,ATI,,427.5,85.5
2935,NVIDIA GeForce GTX 750 GM206,GPU,11/17/2015,28,,228,2940,1087,TSMC,NVIDIA,,1269,39.65
2936,ATI FirePro V5700,GPU,8/8/2008,55,56,146,514,700,TSMC,ATI,,448,
2937,ATI Mobility FireGL V5725,GPU,1/1/2009,55,,135,378,680,TSMC,ATI,,163.2,
2938,Intel Iris Pro Graphics P580,GPU,9/1/2015,14,15,,,350,Intel,Intel,2419,1210,302.4
2939,Intel UHD Graphics,GPU,1/1/2021,14,15,,,300,Intel,Intel,460.8,230.4,57.6
2940,NVIDIA GeForce GTX 680MX Mac Edition,GPU,10/23/2012,28,122,294,3540,719,TSMC,NVIDIA,,2209,92.03
2941,ATI All-In-Wonder Radeon 7500 VE,GPU,4/16/2002,150,,83,60,260,TSMC,ATI,,,
2942,NVIDIA GRID A100A,GPU,5/14/2020,7,400,826,54200,900,TSMC,NVIDIA,55570,13890,6947
2943,NVIDIA GeForce RTX 2070 Max-Q,GPU,1/29/2019,12,90,445,10800,885,TSMC,NVIDIA,10920,5460,170.6
2944,ATI Radeon HD 4350,GPU,9/30/2008,55,20,73,242,600,TSMC,ATI,,96,
2945,3dfx Voodoo4-2 4200 PCI 16 MB,GPU,NaT,180,15,112,14,166,TSMC,Other,,,
2946,AMD Radeon HD 6570 OEM,GPU,2/7/2011,40,44,118,716,650,TSMC,AMD,,624,
2947,NVIDIA GeForce4 MX 440-SE,GPU,2/6/2002,150,,65,29,250,TSMC,NVIDIA,,,
2948,AMD Radeon R7 240 OEM,GPU,11/1/2013,28,50,77,950,730,TSMC,AMD,,499.2,31.2
2949,ATI FireGL V7350,GPU,10/1/2005,90,111,288,321,600,TSMC,ATI,,,
2950,ATI Radeon HD 5870 Eyefinity 6,GPU,3/11/2010,40,228,334,2154,850,TSMC,ATI,,2720,544
2951,NVIDIA GeForce2 MX DH Pro TV,GPU,6/28/2000,180,,64,20,175,TSMC,NVIDIA,,,
2952,AMD FirePro D700,GPU,1/18/2014,28,274,352,4313,850,TSMC,AMD,,3482,870.4
2953,NVIDIA GeForce 9100M G mGPU Intel,GPU,7/29/2008,65,12,144,314,450,Unknown,Intel,,17.6,
2954,ATI Radeon 9600,GPU,10/1/2003,130,12,76,60,324,TSMC,ATI,,,
2955,NVIDIA GeForce GTX 260M,GPU,3/3/2009,65,65,324,754,550,TSMC,NVIDIA,,308,
2956,AMD Radeon 550X 640SP,GPU,4/11/2018,14,50,103,2200,1019,GF,AMD,1371,1371,85.68
2957,AMD Radeon R9 M470,GPU,5/15/2016,28,,160,2080,900,TSMC,AMD,,1536,96
2958,Intel Aubrey Isle,GPU,5/31/2010,45,300,684,2300,1200,Intel,Intel,,614.4,
2959,ATI Radeon HD 3570,GPU,7/5/2010,55,30,67,181,796,TSMC,ATI,,63.68,
2960,AMD Radeon E9174 MXM,GPU,10/3/2017,14,50,103,2200,1124,GF,AMD,1248,1248,78.02
2961,NVIDIA GeForce 9700M GT,GPU,7/29/2008,65,45,144,314,625,UMC,NVIDIA,,99.2,
2962,AMD Radeon RX 6600,GPU,NaT,7,150,236,,1489,TSMC,AMD,17920,8960,560
2963,ATI Radeon HD 2900 XTX,GPU,NaT,80,240,420,720,743,TSMC,ATI,,475.5,
2964,AMD Radeon Pro 5500 XT,GPU,8/4/2020,7,125,158,6400,1187,TSMC,AMD,10800,5398,337.3
2965,AMD Radeon RX 480 Mobile,GPU,8/4/2016,14,100,232,5700,1000,GF,AMD,4963,4963,310.2
2966,ATI Mobility Radeon 9600,GPU,6/1/2004,130,,92,76,300,TSMC,ATI,,,
2967,ATI Radeon HD 5450 PCI,GPU,2/4/2010,40,19,59,292,650,TSMC,ATI,,104,
2968,Intel UHD Graphics G7,GPU,5/28/2020,10,15,,,200,Intel,Intel,1024,512,128
2969,NVIDIA GeForce GTX 980M,GPU,10/7/2014,28,,398,5200,540,TSMC,NVIDIA,,1659,51.84
2970,ATI Radeon X850 XT Platinum,GPU,12/21/2004,130,67,297,160,540,TSMC,ATI,,,
2971,NVIDIA GeForce GT 330M Mac Edition,GPU,4/26/2010,40,23,100,486,500,TSMC,NVIDIA,,105.6,
2972,ATI FirePro RG220,GPU,5/1/2008,55,35,73,242,500,TSMC,ATI,,80,
2973,NVIDIA GeForce2 MX,GPU,6/28/2000,180,,64,20,175,TSMC,NVIDIA,,,
2974,ATI Radeon X1950 CrossFire Edition,GPU,9/10/2006,90,,352,384,650,TSMC,ATI,,,
2975,NVIDIA TITAN V,GPU,12/7/2017,12,250,815,21100,1200,TSMC,NVIDIA,29800,14900,7450
2976,NVIDIA GeForce GTS 150 OEM,GPU,3/10/2009,65,141,324,754,738,TSMC,NVIDIA,,470,
2977,ATI Radeon HD 2400 XT,GPU,6/28/2007,65,25,85,180,650,TSMC,ATI,,52,
2978,NVIDIA GeForce RTX 2070,GPU,10/17/2018,12,175,445,10800,1410,TSMC,NVIDIA,14930,7465,233.3
2979,NVIDIA GeForce GTX 780 Rev. 2,GPU,9/10/2013,28,250,561,7080,863,TSMC,NVIDIA,,4156,173.2
2980,AMD FirePro D300,GPU,1/18/2014,28,150,212,2800,850,TSMC,AMD,,2176,136
2981,NVIDIA GeForce 825M,GPU,1/27/2014,28,33,87,1020,850,TSMC,NVIDIA,,722.7,30.11
2982,NVIDIA P104-101,GPU,1/5/2018,16,,314,7200,1506,TSMC,NVIDIA,134.6,8617,269.3
2983,NVIDIA GeForce 720A,GPU,7/1/2014,28,33,116,585,775,TSMC,NVIDIA,,180.1,15.01
2984,AMD Radeon R6 M335DX,GPU,12/12/2015,28,,56,690,955,TSMC,AMD,,791,49.44
2985,NVIDIA GeForce 705M,GPU,9/27/2013,28,15,116,585,738,TSMC,NVIDIA,,141.7,11.81
